latitude,longitude,idp_population
10.81136,13.46391,1000
10.84419,13.48246,285
10.86612,13.51719,90
10.867749,13.517143,25
10.8758,13.54101,50
10.89521,13.62096,380
10.89229,13.62953,31
10.88448,13.632444,143
10.8899,13.61399,445
10.69721,13.51785,510
10.76136,13.49989,210
10.68649,13.54618,355
10.73628,13.48541,315
10.73892,13.48234,865
10.87475,13.55765,165
10.75935,13.56303,1120
10.87575,13.54105,25
10.75575,13.51245,360
10.7735,13.56294,1225
10.79257,13.57781,358
10.79193,13.5753,775
10.798271,13.559835,329
10.8015,13.59855,50
9.66088,13.22511,317
9.65807,13.22387,437
9.655277,13.2264,382
10.12371,13.15357,344
10.12414,13.15158,325
9.65055,13.10143,842
9.652131,13.101048,845
9.65052,13.10479,875
10.01312,13.20889,210
10.016326,13.210149,208
10.017559,13.098371,479
10.03752,13.13376,591
10.01804,13.1058,847
10.06564,13.18017,587
10.06015,13.18399,595
10.062687,13.187042,503
10.11561,13.21763,231
10.11091,13.21689,236
9.88785,13.20109,1674
9.88754,13.20517,495
9.914541,13.233805,1670
9.91296,13.23591,2066
9.75364,13.24896,1703
9.75547,13.24513,1842
9.75191,13.24733,2317
9.789649,13.107091,800
9.747643,13.252196,962
9.95491,13.22628,241
9.92446,13.23426,303
8.95706,12.06085,318
9.08972,12.05672,254
9.05969,12.053911,271
8.96154,11.90473,136
8.76594,11.92682,326
10.56825,13.32524,222
10.56836,13.32318,123
10.557268,13.35597,84
10.59872,13.46015,90
10.62402,13.48917,35
10.64671,13.45984,40
10.57754,13.33586,290
10.60415,13.34336,78
10.60683,13.36989,158
10.6239,13.38323,120
10.61092,13.3873,250
10.62089,13.39221,500
10.63806,13.38628,120
10.63057,13.39048,150
10.62383,13.39243,250
10.63883,13.38896,57
10.6447,13.39394,90
10.62732,13.41692,11
10.6349,13.40461,67
10.6221,13.4029,153
10.63067,13.39964,46
10.60541,13.39573,60
10.54597,13.28178,95
10.642,13.3554,50
10.55461,13.39011,28
10.60191,13.38287,38
10.25627,13.27545,258
10.50132,13.32351,595
10.28789,13.260063,226
10.3286,13.27237,1223
10.26688,13.27368,1120
10.2668,13.27452,814
10.27701,13.27183,1202
10.272545,13.277742,591
10.43959,13.23967,408
10.35792,13.36867,383
10.359531,13.362309,342
10.26271,13.269891,761
10.26584,13.26986,1738
10.32901,13.31158,411
10.26994,13.25274,1744
10.26445,13.26264,1111
10.19277,13.406257,43
10.13212,13.3607,57
10.16104,13.29991,65
10.15574,13.3008,105
10.15549,13.30251,100
10.197661,13.3085,423
10.197649,13.30848,94
10.2627,13.2862,1105
10.2559,13.29719,140
10.10362,13.316652,47
10.09859,13.31881,51
10.2684,13.2409,280
10.26644,13.25266,78
10.25057,13.26182,377
10.26193,13.26277,1126
10.26862,13.25486,175
10.26611,13.24111,157
10.21353,13.228116,233
10.21387,13.22889,265
10.13714,13.36795,289
10.1294,13.36167,89
10.17317,13.36789,354
10.257562,13.28035,728
10.26269,13.26988,358
10.26667,13.24037,733
10.16764,13.2985,30
9.59699,12.04453,3815
9.61373,12.04637,1687
9.46354,11.68051,490
9.467,11.67595,378
9.46568,11.67768,658
9.48757,12.01475,1974
9.47557,11.98331,1827
9.4547,11.92998,1127
9.4398,11.90548,1547
9.44868,11.90283,1183
9.45914,11.91656,2387
9.45781,12.03361,532
9.45723,12.03382,462
9.45973,12.02174,1155
9.46574,12.02687,406
9.46957,12.02838,434
9.46211,12.02781,56
9.45933,12.02419,126
9.46915,12.02173,651
9.46577,12.02846,448
9.4442,12.02333,1267
9.44983,12.0331,1344
9.45521,12.03767,1869
10.00297,12.05694,90
9.97057,12.04819,60
9.97012,12.05089,300
9.69566,12.02863,600
9.80306,12.05632,330
9.821222,12.056195,1110
9.801222,12.056182,660
9.98849,12.08854,1500
9.98229,12.01466,120
9.68321,12.00329,60
9.68359,12.00119,120
9.68524,12.10029,120
9.685229,12.10089,210
9.88505,12.01937,216
9.89832,12.00636,120
9.90231,12.00905,84
9.89784,12.00804,3102
9.89814,12.00478,60
9.77337,12.05382,900
9.79374,12.05787,558
9.6922,12.7282,220
9.67798,12.73843,30
10.02685,12.66115,60
10.02584,12.66036,53
10.03412,12.66117,211
9.8309,12.6177,257
9.82263,12.62907,146
9.81827,12.626811,160
9.831878,12.62672,159
9.82975,12.61235,336
9.82888,12.62277,72
9.835598,12.619283,132
9.80365,12.62461,516
9.732833,12.562788,263
9.65215,12.55587,47
9.65323,12.55939,83
9.751997,12.656799,155
9.76656,12.65406,102
9.81497,12.89042,121
9.85779,12.95065,239
9.85975,12.94973,226
9.904684,13.055714,568
9.986395,12.95173,904
8.11743,12.04325,168
8.11671,12.04993,200
8.1313,12.0454,198
9.27483,12.45659,300
9.28399,12.45645,243
9.27876,12.45354,232
9.28072,12.42778,348
9.28576,12.44795,491
9.28184,12.46429,440
9.25781,12.46907,224
9.23451,12.43089,1644
9.27202,12.44429,1007
9.27105,12.41369,782
9.24591,12.42556,840
9.22931,12.4346,613
9.28539,12.46273,128
9.28598,12.46113,230
9.28044,12.45389,324
9.2701,12.4484,443
9.28026,12.44682,186
9.284,12.44112,244
9.28212,12.45891,101
9.28137,12.45315,271
9.19245,12.46966,1059
9.17216,12.48246,972
9.1114021,12.3297704,503
9.12249,12.34726,380
9.16658,12.46848,362
9.2052,12.45641,1836
9.21443,12.44284,2124
9.15587,12.40353,289
9.1225,12.34728,1578
9.21292,12.48311,749
9.21194,12.48434,256
9.21436,12.47721,874
9.1915,12.51585,502
9.20271,12.47723,191
9.25765,12.39429,852
9.27541,12.37631,1242
9.32712,12.32408,632
9.27388,12.39005,1000
9.27222,12.41077,212
9.28795,12.34296,1310
9.19624,12.38553,380
9.19288,12.37614,2888
9.25212,12.38243,494
9.29031,12.22853,349
9.28846,12.22958,335
9.28839,12.25115,641
10.64869,12.90748,372
10.65308,12.91042,396
10.60139,13.0295,510
10.7561,13.2153,180
10.57785,13.22345,354
10.49331,13.23526,378
