latitude,longitude,event_dates
12.897,11.9304,2019-01-23 00:00:00.000
11.5,13.0,2019-01-25 00:00:00.000
12.19763,14.0223,2019-01-26 00:00:00.000
13.33282,13.12743,2019-01-26 00:00:00.000
12.03609,13.91815,2019-01-30 00:00:00.000
12.03609,13.91815,2019-01-31 00:00:00.000
13.48895,13.32904,2019-02-02 00:00:00.000
13.6734,13.3388,2019-02-02 00:00:00.000
13.09969,12.1079,2019-02-04 00:00:00.000
11.8826,13.3434,2019-02-08 00:00:00.000
11.20148,12.03125,2019-02-10 00:00:00.000
13.566757,13.445667,2019-02-10 00:00:00.000
12.19763,14.0223,2019-02-12 00:00:00.000
12.1101,13.98946,2019-02-14 00:00:00.000
11.26889,11.99694,2019-02-16 00:00:00.000
12.252155,13.105596,2019-02-16 00:00:00.000
10.9034,12.2806,2019-02-16 00:00:00.000
12.582877,14.129345,2019-02-20 00:00:00.000
11.90472,13.18111,2019-02-22 00:00:00.000
12.94515,13.67232,2019-02-23 00:00:00.000
11.84644,13.160274,2019-02-23 00:00:00.000
12.571088,13.963203,2019-02-24 00:00:00.000
12.77737,13.66366,2019-02-25 00:00:00.000
11.84644,13.160274,2019-02-28 00:00:00.000
11.92589,13.23062,2019-02-28 00:00:00.000
11.15604,12.75758,2019-03-05 00:00:00.000
11.92589,13.23062,2019-03-06 00:00:00.000
11.8826,13.3434,2019-03-06 00:00:00.000
13.6169,13.26438,2019-03-09 00:00:00.000
13.48895,13.32904,2019-03-12 00:00:00.000
13.4814,13.483791,2019-03-12 00:00:00.000
13.48895,13.32904,2019-03-13 00:00:00.000
12.57852,13.61727,2019-03-21 00:00:00.000
12.49303,13.20914,2019-03-21 00:00:00.000
10.73115,12.14626,2019-03-27 00:00:00.000
12.42499,13.9373,2019-03-29 00:00:00.000
12.96309,13.60899,2019-03-29 00:00:00.000
13.691073,13.606721,2019-04-01 00:00:00.000
11.83022,12.63067,2019-04-06 00:00:00.000
11.58605,13.00278,2019-04-06 00:00:00.000
11.5,13.0,2019-04-08 00:00:00.000
11.738597,12.011905,2019-04-09 00:00:00.000
12.49303,13.20914,2019-04-11 00:00:00.000
12.483371,14.183386,2019-04-13 00:00:00.000
11.5,13.0,2019-04-13 00:00:00.000
10.810416,12.45449,2019-04-13 00:00:00.000
13.151034,13.964249,2019-04-13 00:00:00.000
12.94515,13.67232,2019-04-16 00:00:00.000
10.810416,12.45449,2019-04-27 00:00:00.000
13.09466,13.82343,2019-04-29 00:00:00.000
12.1101,13.98946,2019-04-29 00:00:00.000
12.1131,12.8274,2019-05-03 00:00:00.000
12.20577,14.18935,2019-05-09 00:00:00.000
12.252155,13.105596,2019-05-10 00:00:00.000
11.51396,12.66863,2019-05-13 00:00:00.000
11.8072,12.4909,2019-05-13 00:00:00.000
12.499,12.7848,2019-05-19 00:00:00.000
12.03609,13.91815,2019-05-21 00:00:00.000
13.4814,13.483791,2019-05-23 00:00:00.000
10.810416,12.45449,2019-05-25 00:00:00.000
13.151034,13.964249,2019-05-31 00:00:00.000
12.42499,13.9373,2019-05-31 00:00:00.000
12.03609,13.91815,2019-05-31 00:00:00.000
12.36532,13.8293,2019-05-31 00:00:00.000
11.65822,13.03365,2019-06-01 00:00:00.000
13.48895,13.32904,2019-06-02 00:00:00.000
13.4814,13.483791,2019-06-02 00:00:00.000
13.566714,13.460459,2019-06-02 00:00:00.000
13.151034,13.964249,2019-06-05 00:00:00.000
12.8847,12.5081,2019-06-12 00:00:00.000
12.49303,13.20914,2019-06-17 00:00:00.000
13.19304,13.61461,2019-06-21 00:00:00.000
13.148185,13.55959,2019-06-21 00:00:00.000
13.09466,13.82343,2019-06-21 00:00:00.000
12.94515,13.67232,2019-06-21 00:00:00.000
11.738431,14.039601,2019-06-22 00:00:00.000
11.48451,12.31264,2019-06-26 00:00:00.000
13.151034,13.964249,2019-06-28 00:00:00.000
12.252155,13.105596,2019-07-02 00:00:00.000
11.23038,12.470897,2019-07-04 00:00:00.000
13.151034,13.964249,2019-07-06 00:00:00.000
13.6734,13.3388,2019-07-10 00:00:00.000
11.84276,12.77548,2019-07-17 00:00:00.000
13.09466,13.82343,2019-07-29 00:00:00.000
11.8072,12.4909,2019-07-30 00:00:00.000
12.67863,13.60792,2019-08-05 00:00:00.000
12.571088,13.963203,2019-08-09 00:00:00.000
12.499,12.7848,2019-08-09 00:00:00.000
12.14403,14.01017,2019-08-18 00:00:00.000
11.20148,12.03125,2019-08-21 00:00:00.000
12.618096,13.332251,2019-08-30 00:00:00.000
13.4814,13.483791,2019-08-30 00:00:00.000
13.148185,13.55959,2019-08-31 00:00:00.000
13.484913,13.38734,2019-08-31 00:00:00.000
11.5,13.0,2019-09-05 00:00:00.000
12.49303,13.20914,2019-09-05 00:00:00.000
11.0319,12.0597,2019-09-06 00:00:00.000
11.97921,13.87496,2019-09-06 00:00:00.000
13.6734,13.3388,2019-09-10 00:00:00.000
13.044837,12.852429,2019-09-10 00:00:00.000
12.94284,13.17831,2019-09-10 00:00:00.000
13.002316,12.992235,2019-09-10 00:00:00.000
12.499,12.7848,2019-09-12 00:00:00.000
12.252155,13.105596,2019-09-12 00:00:00.000
11.938967,13.631393,2019-09-12 00:00:00.000
13.151034,13.964249,2019-09-13 00:00:00.000
13.4814,13.483791,2019-09-13 00:00:00.000
13.151034,13.964249,2019-09-20 00:00:00.000
11.18904,12.4724,2019-09-22 00:00:00.000
12.26501,12.7859,2019-09-25 00:00:00.000
11.0319,12.0597,2019-09-26 00:00:00.000
12.20577,14.18935,2019-09-26 00:00:00.000
12.328964,12.107326,2019-09-26 00:00:00.000
12.49303,13.20914,2019-09-27 00:00:00.000
11.26889,11.99694,2019-09-27 00:00:00.000
12.499,12.7848,2019-09-29 00:00:00.000
12.49303,13.20914,2019-10-02 00:00:00.000
11.51396,12.66863,2019-10-03 00:00:00.000
12.79305,14.12087,2019-10-04 00:00:00.000
12.49303,13.20914,2019-10-04 00:00:00.000
12.62357,13.27476,2019-10-10 00:00:00.000
12.49303,13.20914,2019-10-10 00:00:00.000
12.499,12.7848,2019-10-10 00:00:00.000
12.252155,13.105596,2019-10-11 00:00:00.000
12.042099,13.068708,2019-10-11 00:00:00.000
12.499,12.7848,2019-10-12 00:00:00.000
13.01486,13.742053,2019-10-16 00:00:00.000
11.84276,12.77548,2019-10-18 00:00:00.000
11.84276,12.77548,2019-10-19 00:00:00.000
13.151034,13.964249,2019-10-21 00:00:00.000
12.499,12.7848,2019-10-28 00:00:00.000
13.151034,13.964249,2019-11-01 00:00:00.000
12.252155,13.105596,2019-11-05 00:00:00.000
11.197729,12.492306,2019-11-06 00:00:00.000
11.747,11.9608,2019-11-07 00:00:00.000
12.816487,12.624444,2019-11-08 00:00:00.000
13.6734,13.3388,2019-11-10 00:00:00.000
13.6734,13.3388,2019-11-13 00:00:00.000
12.2085,13.87973,2019-11-18 00:00:00.000
11.5,13.0,2019-11-19 00:00:00.000
11.643628,12.601413,2019-11-26 00:00:00.000
12.1076,11.7539,2019-11-27 00:00:00.000
13.27368,13.803,2019-11-28 00:00:00.000
13.6734,13.3388,2019-12-03 00:00:00.000
13.6734,13.3388,2019-12-04 00:00:00.000
11.5,13.0,2019-12-04 00:00:00.000
12.36532,13.8293,2019-12-07 00:00:00.000
11.850742,12.882295,2019-12-11 00:00:00.000
12.1131,12.8274,2019-12-12 00:00:00.000
12.571088,13.963203,2019-12-14 00:00:00.000
11.90069,14.02693,2019-12-21 00:00:00.000
11.747,11.9608,2019-12-22 00:00:00.000
12.042099,13.068708,2019-12-22 00:00:00.000
10.67785,12.15688,2019-12-23 00:00:00.000
10.81667,12.41667,2019-12-24 00:00:00.000
12.1101,13.98946,2019-12-25 00:00:00.000
11.850742,12.882295,2019-12-25 00:00:00.000
10.73115,12.14626,2019-12-25 00:00:00.000
11.84276,12.77548,2020-01-04 00:00:00.000
12.571088,13.963203,2020-01-04 00:00:00.000
11.848917,12.902194,2020-01-06 00:00:00.000
11.84685,12.9359,2020-01-06 00:00:00.000
12.67863,13.60792,2020-01-07 00:00:00.000
