lgs_names,status,latitude,longitude
Maiha,Open,10.024735,13.067744
Hong,Open,10.344734,12.903692
Lamurde,Open,9.571329,11.771057
Ganye,Open,8.552964,11.847009
Demsa,Open,9.304045,11.752168
Yola South,Open,9.37415,12.338766
Demsa,Open,9.394246,12.160692
Hong,Open,10.178365,12.886361
Mayo-Belwa,Open,8.878215,12.053243
Gombi,Open,10.176751,12.224972
Jada,Open,8.593692,12.438352
Demsa,Open,9.210946,11.886159
Yola South,Open,9.253668,12.387144
Guyuk,Open,9.775388,11.874538
Jada,Open,8.721588,12.584305
Demsa,Open,9.558408,12.147109
Gombi,Open,10.170432,12.734726
Mubi North,Open,10.444398,13.333404
Girei,Open,9.300796,12.483569
Jada,Open,8.515226,12.074779
Fufore,Open,8.831127,12.389432
Ganye,Open,8.590766,12.198034
Gombi,Open,10.1534795,12.3468427
Maiha,Open,9.7479,13.249
Mubi North,Open,10.458515,13.238343
Hong,Open,10.303433,13.113904
Demsa,Open,9.369088,11.957351
Jada,Open,8.7426935,12.1601924
Jada,Open,8.682221,11.956291
Toungo,Open,7.913219,11.691282
Hong,Open,10.29694,12.886551
Numan,Open,9.451002,11.755776
Jada,Open,8.762671,12.617917
Jada,Open,8.641455,12.27161
Numan,Open,9.3597,11.694778
Mayo-Belwa,Open,9.146571,12.081468
Guyuk,Open,9.991155,11.902353
Lamurde,Open,9.589316,11.809152
Song,Open,9.845563,12.610937
Girei,Open,9.506918,12.501639
Hong,Open,10.176016,12.856592
Fufore,Open,9.562025,12.778879
Fufore,Open,9.212939,12.880547
Shelleng,Open,9.666311,12.141108
Guyuk,Open,9.770713,11.971456
Numan,Open,9.451667,12.032254
Toungo,Open,8.087144,12.094858
Shelleng,Open,9.851789,12.172778
Mayo-Belwa,Open,9.034667,11.925802
Michika,Open,10.606198,13.383797
Mayo-Belwa,Open,8.847351,12.041967
Guyuk,Open,9.730385,11.91358
Shelleng,Open,9.685607,12.031105
Gombi,Open,10.160632,12.736608
Ganye,Open,8.518653,12.246665
Demsa,Open,9.332164,11.867707
Michika,Open,10.637975,13.45102
Fufore,Open,9.034342,12.21288
Song,Open,9.721855,12.64249
Numan,Open,9.415787,11.683153
Mubi North,Open,10.45619,13.370195
Numan,Open,9.459702,12.020763
Lamurde,Open,9.6154,11.686605
Fufore,Open,9.0899863,12.3886286
Toungo,Open,8.037899,11.999566
Guyuk,Open,9.792131,11.863089
Mubi North,Open,10.47133,13.256178
Fufore,Open,9.622317,12.9185
Mayo-Belwa,Open,8.753096,11.94284
Yola South,Open,9.390813,12.352694
Jada,Open,8.596276,12.116821
Jada,Open,8.768082,12.159199
Lamurde,Open,9.533822,11.622869
Numan,Open,9.453292,11.719802
Ganye,Open,8.433358,12.120152
Yola South,Open,9.2274691,12.5821039
Yola South,Open,9.203272,12.473034
Fufore,Open,9.365966,12.711784
Guyuk,Open,9.680078,11.865666
Fufore,Open,9.1816677,12.7253765
Yola North,Open,9.2810097,12.4528543
Mayo-Belwa,Open,8.876387,12.073736
Demsa,Open,9.600575,12.194573
Fufore,Open,8.835229,12.613083
Maiha,Open,10.041767,13.155276
Mayo-Belwa,Open,9.000485,11.995406
Yola South,Open,9.215599,12.48679
Jada,Open,8.829253,12.090535
Guyuk,Open,9.788819,11.885681
Gombi,Open,10.147264,12.740955
Numan,Open,9.452796,11.655378
Mubi North,Open,10.22067,13.468254
Girei,Open,9.49099,12.302156
Girei,Open,9.339954,12.479213
Guyuk,Open,9.838072,11.889316
Mayo-Belwa,Open,8.911178,11.971716
Mubi South,Open,10.217254,13.387798
Demsa,Open,9.334736,12.001903
Demsa,Open,9.206538,11.831013
Ganye,Open,8.420273,11.960475
Numan,Open,9.580659,12.044142
Jada,Open,8.795659,12.670027
Guyuk,Open,9.790327,11.966408
Jada,Open,8.75154,12.12637
Jada,Open,8.55964,12.313946
Mubi South,Open,10.1902986,13.1711938
Lamurde,Open,9.649199,11.699116
Hong,Open,10.206269,13.108123
Song,Open,9.705949,12.260373
Jada,Open,8.583283,12.079636
Yola South,Open,9.318378,12.404204
Demsa,Open,9.250287,11.860029
Hong,Open,10.185324,12.909867
Mubi South,Open,10.257505,13.339902
Song,Open,9.885709,12.607577
Fufore,Open,8.8481578,12.4708122
Michika,Open,10.622111,13.371112
Fufore,Open,9.389265,12.777145
Madagali,Open,10.759972,13.495536
Girei,Open,9.510584,12.644384
Shelleng,Open,9.957274,11.989232
Yola North,Open,9.26398,12.455246
Jada,Open,8.66967,12.001506
Mayo-Belwa,Open,8.644056,11.873431
Michika,Open,10.686999,13.310639
Maiha,Open,10.130419,13.110139
Numan,Open,9.367571,11.606647
Madagali,Open,10.85767,13.390104
Song,Open,9.69582,12.743718
Jada,Open,8.861061,12.145021
Gombi,Open,10.099496,12.25249
Song,Open,9.7915679,12.4184183
Fufore,Open,9.159958,12.231876
Fufore,Open,9.510642,12.702466
Ganye,Open,8.599607,12.216827
Jada,Open,8.820223,12.763937
Gombi,Open,10.321333,12.597595
Yola South,Open,9.407188,12.270255
Song,Open,9.923589,12.544733
Lamurde,Open,9.549262,11.773751
Ganye,Open,8.476112,11.921631
Yola South,Open,9.122535,12.574319
Maiha,Open,9.637057,13.219724
Shelleng,Open,10.11001,12.109509
Fufore,Open,9.172469,12.620645
Demsa,Open,9.563922,12.181454
Fufore,Open,9.032876,12.071243
Hong,Open,10.174239,12.809041
Jada,Open,8.767214,12.136487
Hong,Open,10.38367,12.920247
Yola North,Open,9.2286456,12.424799
Gombi,Open,10.170272,12.73511
Mubi South,Open,10.263093,13.253724
Girei,Open,9.492786,12.453275
Demsa,Open,9.271828,11.770731
Numan,Open,9.45303,11.719371
Madagali,Open,10.783038,13.438963
Michika,Open,10.60874,13.437874
Hong,Open,10.261001,13.047412
Demsa,Open,9.618634,12.187473
Guyuk,Open,9.983643,11.945311
Demsa,Open,9.387012,11.93665
Guyuk,Open,9.862688,11.84772
Lamurde,Open,9.545258,11.944305
Numan,Open,9.413587,11.58564
Hong,Open,10.267518,13.094945
Maiha,Open,10.061247,13.176482
Demsa,Open,9.548634,12.244254
Numan,Open,9.520247,12.015166
Mubi North,Open,10.253409,13.381478
Guyuk,Open,9.998218,11.901449
Shelleng,Open,9.638445,12.050322
Ganye,Open,8.380194,12.064564
Girei,Open,9.359402,12.55398
Hong,Open,10.325418,13.017881
Mayo-Belwa,Open,8.819534,11.943104
Toungo,Open,8.194561,12.002846
Toungo,Open,7.845521,11.704264
Mubi South,Open,10.105531,13.318882
Michika,Open,10.63775,13.510843
Song,Open,9.730297,12.243904
Demsa,Open,9.447648,12.105354
Gombi,Open,10.309865,12.305492
Girei,Open,9.302355,12.484727
Numan,Open,9.442003,12.018384
Lamurde,Open,9.56563,11.889917
Gombi,Open,10.352357,12.632551
Demsa,Open,9.533696,12.192489
Gombi,Open,10.297557,12.773478
Guyuk,Open,9.796633,11.869428
Hong,Open,10.108272,13.056912
Hong,Open,10.328084,13.17498
Mubi North,Open,10.43233,13.27968
Girei,Open,9.406643,12.560127
Maiha,Open,10.114583,13.216094
Numan,Open,9.466402,11.675109
Gombi,Open,10.232761,12.719561
Maiha,Open,9.538719,13.12703
Song,Open,9.698346,12.309577
Mayo-Belwa,Open,9.121731,11.940817
Mayo-Belwa,Open,9.220727,12.207566
Mubi North,Open,10.499083,13.32572
Lamurde,Open,9.568683,11.832965
Mubi North,Open,10.365012,13.453686
Hong,Open,10.412999,12.974294
Gombi,Open,10.216608,12.698371
Jada,Open,8.795027,12.547862
Fufore,Open,9.376849,12.691199
Fufore,Open,9.028676,12.600939
Lamurde,Open,9.493514,11.560205
Girei,Open,9.496154,12.476954
Girei,Open,9.587815,12.463076
Lamurde,Open,9.579039,11.73401
Gombi,Open,10.417013,12.565725
Ganye,Open,8.475897,11.937765
Mayo-Belwa,Open,9.097462,11.8224726
Gombi,Open,10.078167,12.467495
Gombi,Open,10.249081,12.506217
Guyuk,Open,9.746264,11.900603
Yola South,Open,9.324798,12.114866
Shelleng,Open,9.81265,12.10233
Demsa,Open,9.511112,12.201251
Hong,Open,10.236434,12.919199
Girei,Open,9.45504,12.357117
Jada,Open,8.547277,12.025217
Jada,Open,8.85908,12.14912
Yola South,Open,9.203663,12.387554
Michika,Open,10.545295,13.289867
Lamurde,Open,9.558887,11.730441
Girei,Open,9.491172,12.30209
Jada,Open,8.505852,12.375961
Yola South,Open,9.161558,12.497905
Mubi North,Open,10.277902,13.337876
Mubi North,Open,10.463254,13.337837
Demsa,Open,9.277302,11.902015
Demsa,Open,9.510784,12.187034
Mayo-Belwa,Open,8.757081,11.971159
Gombi,Open,10.147103,12.59613
Girei,Open,9.302443,12.468524
Fufore,Open,9.615848,12.782399
Numan,Open,9.405351,11.661179
Gombi,Open,10.450192,12.56577
Ganye,Open,8.569562,12.242862
Song,Open,9.729892,12.247071
Mubi North,Open,10.425745,13.303632
Ganye,Open,8.436074,11.929571
Numan,Open,9.395673,11.70744
Numan,Open,9.581033,12.044363
Michika,Open,10.600022,13.502853
Jada,Open,8.875747,12.208513
Mayo-Belwa,Open,9.269553,12.019048
Mubi North,Open,10.298295,13.314954
Hong,Open,10.430733,13.004621
Mayo-Belwa,Open,9.018017,12.010517
Hong,Open,10.38856,13.208864
Song,Open,9.770476,12.584743
Shelleng,Open,9.880929,12.133474
Mubi North,Open,10.274526,13.27943
Girei,Open,9.573472,12.569176
Michika,Open,10.460648,13.490395
Michika,Open,10.568576,13.526648
Fufore,Open,9.6507,12.969031
Toungo,Open,7.908362,11.594226
Gombi,Open,10.144933,12.47625
Ganye,Open,8.272062,12.069034
Gombi,Open,10.051844,12.280994
Maiha,Open,10.050114,13.188608
Jada,Open,8.622543,12.135751
Jada,Open,8.642676,12.108277
Mubi North,Open,10.415003,13.306299
Jada,Open,8.648366,12.235713
Song,Open,9.634237,12.445208
Fufore,Open,9.025129,12.398253
Song,Open,9.851882,12.3563
Michika,Open,10.630351,13.430825
